site_name,latitude,longitude,coordinate_text,coordinate_system,source_file,page,evidence_snippet,duplicate_of,status,similar_names
Ceruk Masare,,,,,data/google-drive-pdfs/05+Kalpataru+2023+Ipak+hal+149-162.pdf,6,",4"" 126⁰51'11,7"" 20 East Coast 9 Gua Rarangunusa 04⁰27'32,6"" 126⁰51'58,8"" 17 East Coast 10 Ceruk Rarangunusa 2 (occupancy) 04⁰27'32,6"" 126⁰51'58,8"" 17 East Coast 11 Ceruk Gamalo 04⁰26'02,6"" 126⁰52'03,3"" 13 East Coast 12 Ceruk Masare 2 04⁰32'01,2"" 126⁰48'27,8"" 22 North Coast 13 Ceruk Masare 04⁰32'01,2"" 126⁰48'27,8"" 22 North Coast 14 Toton Batu 04⁰07'36,3"" 126⁰44'11,9"" 7 West Coast 15 Leang Matahit 04⁰10'22,8"" 126⁰45'34,7"" 7 West Coast 16 Liang Mande",Ceruk Masare,duplicate,
Liang Bua,,,,,data/google-drive-pdfs/1-s2.0-S0047248422001397-main.pdf,6,"could potentially also represent Denisovan groups. Thus far, however, fossil-rich Middle Pleistocene sites are limited to Indonesia and are assigned to the H. erectus hypodigm, with the exception of the assemblage from Liang Bua, Flores, attributed to H. ﬂoresiensis (Brown et al., 2004 ) and the possibly related, much older fragmentary remains from Mata Menge ( van den Bergh et al., 2016), as well as those from Callao Cave, the Philippines, att",Liang Bua,duplicate,
Liang Bua,,,,,data/google-drive-pdfs/1-s2.0-S0277379124001707-main.pdf,10,"from the late pleistocene of Flores, Indonesia. Nature 437, 1012 – 1017. https://doi.org/10.1038/nature04022 . Morwood, M.J., Sutikna, T., Saptomo, E.W., Jatmiko, Hobbs, D.R., Westaway, K.E., 2009. Preface: research at Liang Bua, Flores, Indonesia. J. Hum. Evol. 57, 437 – 449. https://doi.org/10.1016/j.jhevol.2009.07.003 . Mussi, M., Skinner, M.M., Melis, R.T., Panera, J., Rubio-Jara, S., Davies, T.W., et al., 2023. Early Homo erectus lived at",Liang Bua,duplicate,
Liang Bua,,,,,data/google-drive-pdfs/1-s2.0-S0277379124001707-main.pdf,11,"genetic records. Pa 2022. https://doi.org/10.48738/2022. iss2.130 . Sutikna, T., Tocheri, M.W., Morwood, M.J., Saptomo, E.W., Jatmiko, Awe RD., et al., 2016. Revised stratigraphy and chronology for Homo floresiensis at Liang Bua in Indonesia. Nature 532, 366 – 369. https://doi.org/10.1038/nature17179 . Tattersall, I., 2015. Homo ergaster and its Contemporaries. In: Henke, W., Tattersall, I. (Eds.), Handbook of Paleoanthropology. Springer Berlin",Liang Bua,duplicate,
Leang Sarru,,,,,data/google-drive-pdfs/1-s2.0-S2352409X25000525-main.pdf,3,"tion. For example, the Talaud Islands (Indonesia) are in more than 150 km straight distance from Mindanao (Philippines), Sulawesi (Indonesia), and the Northern Maluku Islands. Its currently oldest archaeological site is Leang Sarru which dates to 35kya, providing evidence that those early seafarers possessed the technology and navi - gating skills to cross over 100 km distance of open sea during the Late Pleistocene ( Ono et al., 2019, 2024 ). Ano",Leang Sarru,duplicate,
Liang Bua,,,,,data/google-drive-pdfs/1-s2.0-S2352409X25000525-main.pdf,3,"s Tabon Cave, Palawan ( Xhauflair et al., 2020, 2023 ), Leang Sarru, Talaud Islands ( Fuentes et al., 2019, 2020; Ono et al., 2020 ), Topogaro, Central Sulawesi ( Fuentes et al., 2021; Ono et al., 2020,2021,2023b ), and Liang Bua, Flores ( Hayes et al., 2021 ). The use of fibres as binding for bone tools together with tree resin as adhesive was identified as early as the Early Holocene in Niah Cave R. Fuentes and A. Pawlik Journal of Archaeologi",Liang Bua,duplicate,
Leang Sarru,,,,,data/google-drive-pdfs/1-s2.0-S2352409X25000525-main.pdf,4,"< 1 35 cave Palawan, Philippines/ Sunda x x x ​ ​ ​ ​ Xhauflair et al., 2023; Robles et al., 2015 Bubog 1 35 < 1 < 2 rockshelter Mindoro, Philippines/ Wallacea ​ ​ x x ​ x x Pawlik et al., 2015 , Boulanger et al., 2023a Leang Sarru 35 < 1 2 rockshelter Talaud, Indonesia/ Wallacea x x x ​ x x x Ono et al., 2009; Fuentes et al., 2019 Bilat 22 < 1 10 cave Mindoro, Philippines/ Wallacea ​ ​ ​ x ​ x ​ Pawlik 2021; Boulanger et al., 2023a Tron Bon Lei 2",Leang Sarru,duplicate,
Liang Bua,,,,,data/google-drive-pdfs/1-s2.0-S2352409X25000525-main.pdf,4,"009; Fuentes et al., 2019 Bilat 22 < 1 10 cave Mindoro, Philippines/ Wallacea ​ ​ ​ x ​ x ​ Pawlik 2021; Boulanger et al., 2023a Tron Bon Lei 21 < 1 3 cave Alor, Indonesia/ Wallacea ​ ​ ​ ​ ​ x ​ O ’ Connor et al., 2017 Liang Bua 18 27 30 cave Flores, Indonesia/ Wallacea x ​ x ​ ​ ​ ​ Hayes et al., 2021 Here Sorot Entapa 15 < 1 1 rockshelter Kisar, Indonesia/ Wallacea ​ ​ ​ ​ ​ x x O ’ Connor et al., 2019 Bubog 2 12 < 1 < 2 rockshelter Mindoro,",Liang Bua,duplicate,
Leang Sarru,,,,,data/google-drive-pdfs/1-s2.0-S2352409X25000525-main.pdf,5,"09; Barton, 2016 ; Rabett and Piper, 2012 ), while resinous residues on hafted lithic tools of similar age have been identi - fied through use-wear analysis for Ille Cave in Palawan ( Pawlik, 2012 ) and even earlier for Leang Sarru in North Sulawesi ( Fuentes et al., 2019 ). It has been labelled as invisible technology due to the nature of organic materials and their rapid decomposition in tropical environments, wherein remnants of artefacts made",Leang Sarru,duplicate,
Leang Sarru,,,,,data/google-drive-pdfs/1-s2.0-S2352409X25000525-main.pdf,7,"’Connor et al., 2011 Topogaro 2 42 Seafaring Boats Bone points Composite technology Cords Fibrecraft Nets Open sea fishing Fuentes et al., 2020; Ono et al., 2021,2023b Tabon 39 Boats Ropes Sailing Xhauflair et al., 2023 Leang Sarru 35 open water crossingmaritime migration Bindings Cords Fibres Fish traps Fishing nets Open sea fishing Ropes Ono et al., 2009, 2023a; Fuentes et al., 2019 Bubog 1 35 Seafaringvoyagingboats Bone fishing gorge Inshore fi",Leang Sarru,duplicate,
Liang Bua,,,,,data/google-drive-pdfs/1-s2.0-S2352409X25000525-main.pdf,7,"fishing Shellfishing Pawlik and Piper, 2019; Pawlik, 2021; Boulanger et al., 2023a Tron Bon Lei 21 Voyaging Fishermen Fishing Inter-island obsidian exchange Maritime cosmology Shell fishhooks O’Connor et al., 2017,2019 Liang Bua 18 N/A Bindings Fibrecraft Hayes et al., 2021 Here Sorot Entapa 15 seagoingmaritime voyagesboatscanoes Fishing Inter-island obsidian exchange Sails Shell fishhooks O’Connor et al., 2019 Niah 12 Boats Boat caulking Fishi",Liang Bua,duplicate,
Liang Bua,,,,,data/google-drive-pdfs/1-s2.0-S2352409X25000525-main.pdf,10,"rinding stones through use-wear and residue analysis. J. Archaeol. Sci.: Reports 11, 245 – 260 . Hayes, E., Fullagar, R., Kamminga, J., Prinsloo, L., Bordes, L., Sutikna, T., et al., 2021. Use-polished stone flakes from Liang Bua, Indonesia: implications for plant processing and fibrecraft in the Late Pleistocene. J. Archaeol. Sci.: Reports 40, 103199 . Huisheng, T., Anni, J., Bednarik, R.G., 2016. The earliest known logboats of China. Int. J. N",Liang Bua,duplicate,
Leang Sarru,,,,,data/google-drive-pdfs/125988168.pdf,1,"ondition has supported Minahasa to be reseidential area since ancient time. The proofs of the ancient life in the Northern Sulawesi are found in Leang Saru, Leang Tuo Manee, Passo, and…….. The dating report of shells at Leang Sarru site, Salibabu island, Talaud suggests that the areas have been inhabited since 31.000 ago [3, 4]. Furthermore, Leang Tuwo Maneé, Arangkaa, was inhabited 4000 years ago © The Author(s) 2023 M. Hasyim (Ed.): ICLC 2022, A",Leang Sarru,duplicate,
Liang Bangkai,,,,,data/google-drive-pdfs/126000089.pdf,3,"on was also based on the fertility of the na tural environment, related to the availability of clean water, sources of food, and sources of rock materials for making stone tools. Figure 3. Findings of human skeletons in Liang Bangkai 10. (a) human skeleton lying on a straight back, (b) skull bone 20 cm below the first skeleton (South Kalimantan Archaeological Center Documentation 2015). Physically, the condition of Bangkai Hill as a type of Tunggal",Liang Bangkai,duplicate,
Liang Bangkai,,,,,data/google-drive-pdfs/126000089.pdf,4,"e and process food. Meanwhile, there are several small alcoves on the Bangkai cave 1 site that are used as places to express their feelings or the art of painting that they have mastered. Figure 5. Human image motifs in Liang Bangkai 1, geometric image motifs in Ceruk Bangkai 1, poultry motifs in Ceruk Bangkai 11, and human image motifs in Ceruk Bangkai 12 (Personal documentation) The place where prehistoric imag -es in black are found exclusively i",Liang Bangkai,duplicate,
Liang Bangkai,,,,,data/google-drive-pdfs/126000089.pdf,5,"only visible after the research team really carefully observed the cave walls and was assisted by quite sophis -ticated image analysis technology (In-ventory Team, 2019) (see fig. 7). Figure 7. Handprint rock art at the Liang Bangkai 10 site (BPCB East Kalimantan 2019) The finding of this handprint is the first handprint found, especially in the South Kalimantan region. And the presence of this handprint seems to be a certain sign that is closely re",Liang Bangkai,duplicate,
Liang Bangkai,,,,,data/google-drive-pdfs/126000089.pdf,6,"-tus di Kabupaten Kotabaru, Kali- mantan Selatan. Laporan Teknis, Bal ai Arkeologi Kalimantan Se-latan, Banjarbaru (2018). [6] Noerwidi, Sofwan, Ulce Oktrivia, dan Bambang Sugiyanto. Osteobio -grafi Rangka Manusia Situs Liang Bangkai 10, Pegunungan Meratus, Kalimantan Selatan. Amerta 40 (1), 87-107 (2022). [7] Sugiyanto, Bambang. Penelitian Situs Prasejarah Liang Bangkai, Kecamatan Mantewe, Kabupaten Tanah Bumbu, Kalimantan Selatan. Laporan Teknis,",Liang Bangkai,duplicate,
Gua Babi,,,,,data/google-drive-pdfs/126000089.pdf,7,"nventarisasi, Eksplorasi Karst Mantewe Tahap II. Laporan Teknis, Balai Pelestarian Cagar Budaya Kalimantan Timur, Sa-marinda. unpublish (2019). [13] Widianto, Harry, Truman Simanjuntak dan Budianto Toha. Ekskavasi Situs Gua Babi, Kabu -paten Tabalong, Provinsi Kaliman -tan Selatan. Berita Penelitian Arkeologi No. 1. Balai Arkeologi Banjarmasin, Banjarbaru (1997) [14] Widianto, Harry dan Retno Handini. Karakter Budaya Prase-jarah di Situs Gua Ba",Gua Babi,duplicate,
Gua Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,2,"asejarah adalah Kabupaten Konawe Kepulauan, tepatnya di Desa Sukarela Jaya, Kecamatan Wawonii Tenggara. Di kawasan ini terdapat salah satu gua, oleh masyarakat setempat mengenalnya dengan sebutan Dompo-Dompo. Keberadaan Gua Dompo -Dompo sebagai salah satu situs prasejarah telah memunculkan sejumlah pertanyaan, yaitu: Apa saja tinggalan arkeologi pada Situs Gua Dompo -Dompo di Desa Sukarela Jaya dan bagaimana fungsi Gua Dompo -Dompo pada masa lal",Gua Dompo,duplicate,
Gua Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,3,"hubungan di antara berbagai variabel penelitian. Adapun data yang disajikan dalam penelitian ini terdiri dari data kepustakaan (sekunder) dan data lapangan (primer) berupa tinggalan-tinggalan arkeologi yang terdapat di Gua Dompo -Dompo yakni, artefak, rangka manusia, dan moluska. Kemudian data tersebut dianalisis menggunakan analisis arkeologi yakni, analisis morfologi dan analisis kontekstual. 2. HASIL DAN PEMBAHASAN Situs Dompo -Dompo merupak",Gua Dompo,duplicate,
Gua Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,4,"Sangia: Jurnal Penelitian Arkeologi Vol.5 No.2 (1 Desember 2021): 112 - 132 Website:http://journal.fib.uho.ac.id/index.php/sangia ISSN 2654-3524 (Online) ISSN 2613-8999 (Print) 83 2.1 Tinggalan Arkeologi di Gua Dompo-Dompo Adapun tinggalan arkeologi yang terdapat di Gua Dompo - Dompo cukup variataif. Berdasarkan jenisnya, temua n arkeologi pada Situs Gua Dompo - Dompo dikelompokan menjadi tiga bagian, yaitu temuan artefaktual, rangk",Gua Dompo,duplicate,
Gua Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,5,"ngraji n tembikar menusukan benda runcing tersebut pada permukaan tembikar yang belum dibakar atau masih dalam kondisi lunak. c. Fragmen Tembikar Motif 2 Sampel fragmen Tembikar motif 2 ditemukan pada lantai ruangan dua Gua Dompo -Dompo. Sampel tersebut merupakan penemuan fragmen tembikar bermotif yang ke -2 pada situs tersebut. Artefak ini berwarna cokelat, dengan ketebalan 0,5 cm, tinggi 8 cm, lebar 5,5 cm, dan beratnya mencapai 29 g. Fragmen",Gua Dompo,duplicate,
Gua Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,6,"nya, permukaan gerabah akan ditempelkan sesuatu, misalnya tanah liat, baik itu yang dicetak maupun tidak dicetak (Sendana, 2017: 106). d. Fragmen Tembikar Motif 3 Sampel fragmen tembikar motif 3 ditemukan pada ruangan 2 Gua Dompo -Dompo. Artefak ini berwarna cokelat ke abu-abuan, dengan ketebalan 1,4 cm, tinggi 5,5 cm, lebar 7 cm, dan memiliki berat 32 g. Fragmen tembikar tersebut ditemukan pada lantai gua, sudah dalam keadaan tidak utuh lagi at",Gua Dompo,duplicate,
Gua Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,7,"2 (1 Desember 2021): 112 - 132 Website:http://journal.fib.uho.ac.id/index.php/sangia ISSN 2654-3524 (Online) ISSN 2613-8999 (Print) 86 e. Fragmen Tembikar Motif 4 Sampel fragmen tembikar motif 4 ditemukan pada ruangan 2 Gua Dompo -Dompo. Artefak ini berwarna cokelat ke abu-abuan, dengan ketebalan 0,7 cm, tinggi 7 cm, lebar 6,8 cm, dan memiliki berat 43 gr. Fragmen tembikar tersebut ditemukan pada lantai gua berbaur dengan temuan arkeologi lainya",Gua Dompo,duplicate,
Gua Dompo-Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,7,"memiliki garis -garis kecil. lebih jelasnya dapat dilihat pada gambar 6 berikut. Gambar 6. Fragmen tembikar motif 4 Dok: Aldin, 2021 Berdasarkan hasil analisis, sampel fragmen tembikar motif 4 yang ditemukan pada Situs Gua Dompo-Dompo merupakan potongan bagian tepian tembikar dengan orientasi terbuka. Bentuk ragam hias pada fragmen tembikar di atas dibuat dengan menggunakan teknik gabungan antara t eknik tempel dan teknik tekan. Tonjolan pada bagian",Gua Dompo-Dompo,duplicate,
Gua Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,8,"pun dalam kondisi sudah dibakar, menggunakan sebuah alat atau pisau seperti obsidian yang memiliki ujung yang tajam (Shepard, 1956: 198-199). g. Fragmen Tembikar Motif 6 Fragmen tembikar motif 6 ditemukan pada ruangan 2 Gua Dompo -Dompo. Artefak ini berwarna cokelat ke abu -abuan, dengan ketebalan 0,7 cm, tinggi 5,5 cm, lebar 7 cm, dan memiliki berat 49 g. Fragmen tembikar tersebut ditemukan pada lantai gua berbaur dengan temuan arkeologi lainya",Gua Dompo,duplicate,
Gua Dompo-Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,8,"sudah da lam keadaan tidak utuh lagi atau fragmentaris. Meskipun demikian, sampel fragmen tembikar motif 8 merupakan temuan dengan bentuk yang paling kompleks dibandingkan fragmen tembikar lain yang ditemukan pada Situs Gua Dompo-Dompo, dimana fragmen tembikar ters ebut terdiri dari potongan utuh bagian bibir hingga bagian dasar tembikar. (Lihat gambar 9).",Gua Dompo-Dompo,duplicate,
Gua Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,9,"h) (Sendana, 2017: 88). Adapun teknik ragam hias yang digunakan untuk menghasilkan motif jenis ini adalah teknik gores (incised). i. Fragmen Gelang Satu-satunya temuan artefak berupa perhiasan ditemukan pada ruangan dua Gua Dompo -Dompo. Benda ini memiliki warna putih, dengan diamet er 8 cm, tebal 0,5 cm, dan memiliki berat 12 g. Artefak ini ditemukan pada lantai gua ruangan 2 (dua), berbaur dengan temuan arkeologi lainya, serta sudah dalam kead",Gua Dompo,duplicate,
Gua Dompo-Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,9,"dengan bentuknya yang bulat, serta ukuranya yang sesuai untuk digunakan pada tangan manusia. Berdasarkan bentuk dan permukaanya, fragmen gelang tersebut terbuat dari cangkang kerang laut. Asumsi ini didukung oleh lokasi Gua Dompo-Dompo sendiri yang berbatasan langsung dengan laut.",Gua Dompo-Dompo,duplicate,
Gua Dompo-Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,10,"ia: Jurnal Penelitian Arkeologi Vol.5 No.2 (1 Desember 2021): 112 - 132 Website:http://journal.fib.uho.ac.id/index.php/sangia ISSN 2654-3524 (Online) ISSN 2613-8999 (Print) 89 2.1.2 Deksripsi Tinggalan Rangka Manusia di Gua Dompo-Dompo a. Tulang Paha (Femur) Tulang paha atau tulang femur merupakan bagian dari temuan rangka manusia yang ditemukan pada Situs Gua Dompo -Dompo. Secara keseluruhan, sampel tulang paha yang terdapat di Gua Dompo - Dompo berj",Gua Dompo-Dompo,duplicate,
Gua Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,10,"ia: Jurnal Penelitian Arkeologi Vol.5 No.2 (1 Desember 2021): 112 - 132 Website:http://journal.fib.uho.ac.id/index.php/sangia ISSN 2654-3524 (Online) ISSN 2613-8999 (Print) 89 2.1.2 Deksripsi Tinggalan Rangka Manusia di Gua Dompo-Dompo a. Tulang Paha (Femur) Tulang paha atau tulang femur merupakan bagian dari temuan rangka manusia yang ditemukan pada Situs Gua Dompo -Dompo. Secara keseluruhan, sampel tulang paha yang terdapat di Gua Dompo - Domp",Gua Dompo,duplicate,
Gua Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,11,"2021): 112 - 132 Website:http://journal.fib.uho.ac.id/index.php/sangia ISSN 2654-3524 (Online) ISSN 2613-8999 (Print) 90 Tulang lengan ( humerus) merupakan bagian dari tinggalan rangka manusia yang ditemukan pada Situs Gua Dompo -Dompo. Secara keseluruhan, sampel tulang lengan ( humerus) yang yang ditemukan berjumlah 21. Saat ditemukan, tinggalan -tinggalan tersebut sudah mengalami kerusakan, (lapuk) d an (patah), yang kemungkinan besar disebab",Gua Dompo,duplicate,
Gua Dompo-Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,11,"lami kerusakan, (lapuk) dan (patah), yang kemungkinan besar disebabkan oleh faktor usia, faktor alam, dan tindakan vandalisme. Berikut adalah sampel gambar dari tulang rahang bawah ( mandibula) yang ditemukan pada Situs Gua Dompo-Dompo. (lihat gambar 14). Gambar 14. Tulang rahang bawah (mandibula) Dok: Aldin, 2021 e. Tulang Rahang Atas (Maxilla) Tulang rahang atas ( maxilla) merupakan bagian dari tinggalan rangka manusia yang ditemukan pada Situs Gua",Gua Dompo-Dompo,duplicate,
Gua Dompo-Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,12,") 91 mengalami kerusakan, (lapuk) dan (patah), yang kemungkinan besar disebabkan oleh faktor usia, faktor alam, dan tindakan vandalisme. Berikut adalah gambar dari tulang rahang atas ( maxilla) yang ditemukan pada Situs Gua Dompo-Dompo. (lihat gambar 15). Gambar 15. Tulang rahang atas (maxilla) Dok: Aldin, 2021 f. Tulang Dahi (Os Frontal) Tulang dahi atau dalam bahasa latin dikenal dengan sebutan os frontal merupakan salah satu bagian dari tinggalan r",Gua Dompo-Dompo,duplicate,
Gua Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,12,") 91 mengalami kerusakan, (lapuk) dan (patah), yang kemungkinan besar disebabkan oleh faktor usia, faktor alam, dan tindakan vandalisme. Berikut adalah gambar dari tulang rahang atas ( maxilla) yang ditemukan pada Situs Gua Dompo-Dompo. (lihat gambar 15). Gambar 15. Tulang rahang atas (maxilla) Dok: Aldin, 2021 f. Tulang Dahi (Os Frontal) Tulang dahi atau dalam bahasa latin dikenal dengan sebutan os frontal merupakan salah satu bagian dari tingg",Gua Dompo,duplicate,
Gua Dompo-Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,13,"nal.fib.uho.ac.id/index.php/sangia ISSN 2654-3524 (Online) ISSN 2613-8999 (Print) 92 usia, faktor alam, maupun tindakan vandalisme. Berikut adalah gambar dari tulang kepala belakang (occipital) yang ditemukan pada Situs Gua Dompo-Dompo. (Lihat gambar 17). Gambar 17 Tulang kepala belakang (occipital) Dok: Aldin, 2021 h. Tulang Belakang (Vertebrae) Tulang belakang atau vertebrae adalah salah satu bagian dari temuan rangka manusia yang bentuknya masih da",Gua Dompo-Dompo,duplicate,
Gua Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,13,"nal.fib.uho.ac.id/index.php/sangia ISSN 2654-3524 (Online) ISSN 2613-8999 (Print) 92 usia, faktor alam, maupun tindakan vandalisme. Berikut adalah gambar dari tulang kepala belakang (occipital) yang ditemukan pada Situs Gua Dompo-Dompo. (Lihat gambar 17). Gambar 17 Tulang kepala belakang (occipital) Dok: Aldin, 2021 h. Tulang Belakang (Vertebrae) Tulang belakang atau vertebrae adalah salah satu bagian dari temuan rangka manusia yang bentuknya ma",Gua Dompo,duplicate,
Gua Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,14,"an dan hasil analisis, bentuk t ulang yang tak teridentfikasi tersebut disebabkan oleh faktor alam, usia, dan tindakan vandalisme. Berikut adalah gambar dari tinggalan tulang tak teridentifikasi yang terdapat pada Situs Gua Dompo -Dompo. (Lihat gambar 19). k. Gigi Gambar 19 Tulang tak teridentifikasi Dok: Aldin, 2021 Tinggalan arkeologi berupa gigi manusia yang ditemukan pada Situs Gua Dompo-Dompo berjumlah 11. Tinggalan tersebut terdapat pada l",Gua Dompo,duplicate,
Gua Dompo-Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,14,"an tulang tak teridentifikasi yang terdapat pada Situs Gua Dompo -Dompo. (Lihat gambar 19). k. Gigi Gambar 19 Tulang tak teridentifikasi Dok: Aldin, 2021 Tinggalan arkeologi berupa gigi manusia yang ditemukan pada Situs Gua Dompo-Dompo berjumlah 11. Tinggalan tersebut terdapat pada lantai gua dan tersebar pada beberapa ruangan, dimana 1 diantaranya ditemukan pada ruangan satu, 6 ditemukan pada ruangan dua, dan 4 ditemukan pada ruangan tiga. Gigi manus",Gua Dompo-Dompo,duplicate,
Gua Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,15,"oluska sudah bercampur dengan tanah. (Lihat gambar 21). 21 Moluska bradybaena similiaris Dok: Aldin, 2021 b. Moluska Cypraea Tigiris Moluska cypraea tigiris merupakan salah satu spesies moluska yang ditemukan pada Situs Gua Dompo-Dompo. Tinggalan ini ditemukan pada ruangan dua, berbaur dengan temuan arkeologi lainya. Kondisi moluska tersebut masih utuh dan memiliki berat 79 gram. Molusca jenis ini hidup di air laut dan sampai saat ini masih menj",Gua Dompo,duplicate,
Gua Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,16,"temukan terdiri dari dua jenis, yaitu moluska bradybaena similiaris dengan jumlah keseluruhan (6) enam dan moluska cypraea tigiris yang berjumlah (1) satu. Secara keletakan, tinggalan arkeologi yang ditemukan pada Situs Gua Dompo -Dompo berada pada posisi berbaur/berasosiasi satu sama lain. Hal ini mengindikasikan bahwa pada masa lalu tinggalan artefaktual maupun rangka manusia yang terdapat pada situs tersebut diletakan dalam kerangka waktu yan",Gua Dompo,duplicate,
Gua Dompo-Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,16,letakan dalam kerangka waktu yang bersamaan. Faktor lain yang mendukung asumsi ini adalah kondisi fisik pada temuan yang mengalami kerusakan yang cukup identik. Adapun rincian kondisi dan jumlah tinggalan arkeologi pada Gua Dompo-Dompo diuraikan dalam tabel 2.1 berikut. Tabel 1 Rekapitulasi data tinggalan arkeologi pada Situs Gua Dompo-Dompo No Jenis Temuan Utuh Tidak utuh Jumlah 1 Fragmen Tembikar Polos  1 2 Fragmen Tembikar Bermotif  7 3 Manik-M,Gua Dompo-Dompo,duplicate,
Gua Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,17,"lulang manusia, sebuah wadah tempayan, peti mati, manik -manik atau perhiasan dan lain sebagainya. Berangkat dari fakta -fakta tersebut, dengan mempertimbangkan kondisi fisik, li ngkungan dan temuan arkeologi pada Situs Gua Dompo -Dompo, maka penulis menyimpulkan, bahwa pada masa lalu Gua Dompo -Dompo merupakan gua yang berfungsi sebagai lokasi penguburan. Pernyataan ini didukung oleh tinggalan arkeologi yang ditemukan, berupa sisa-sisa tulang b",Gua Dompo,duplicate,
Gua Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,18,"Sangia: Jurnal Penelitian Arkeologi Vol.5 No.2 (1 Desember 2021): 112 - 132 Website:http://journal.fib.uho.ac.id/index.php/sangia ISSN 2654-3524 (Online) ISSN 2613-8999 (Print) 97 tinggalan arkeologis yang terdapat di Gua Dompo -Dompo saat ini. Demikian artefak berupa fragmen tembikar, fragmen gelang, maupun logam merupakan benda -benda yang erat kaitanya dengan prosesi penguburan bercorak tradisi pra islam. Kegiatan penguburan sendiri merupak",Gua Dompo,duplicate,
Gua Dompo-Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,18,"manusia lahir dari rahim seorang ibu, ketika mati maka dikembalikan ke da lam rahim ibu yang disimbolkan dengan wadah tersebut (Aziz, 1995: 6 dalam Hidayah, 2013: 137). Keletakan sisa -sisa tulang belulang manusia pada Gua Dompo-Dompo tidak dalam posisi anatomis, sebaliknya menunjukan posisi yang tak beraturan dan berserakan pada lantai gua. Saat ditemukan, tinggalan non -artefaktual berupa sisa -sisa tulang belulang manusia dalam keadaan berbaur den",Gua Dompo-Dompo,duplicate,
Gua Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,19,"berikutnya gerabah telah dimanfaatkan untuk keperluan yang berhubungan dengan religi dan ritual-ritual tertentu, salah satunya adalah kegiatan penguburan. Begitu pula dengan fragmen tembikar/gerabah yang ditemukan pada Gua Dompo -Dompo, dimana keberadaan artefak ini mengindikasikan terdapat tujuan maupun fungsi tersendiri dibalik peletakanya. Fragmen tembikar yang terdapat pada Gua Dompo -Dompo memiliki dimensi atau ukuran yang bervariasi, mula",Gua Dompo,duplicate,
Gua Dompo-Dompo,,,,,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,19,"bahwa Situs Gua Dompo -Dompo merupakan salah satu situs prasejarah yang berada pada Desa Sukarela Jaya, Kecamatan Wawonii Tenggara, Kabupaten Konawe Kepulauan. Penjabaran mengenai tinggalan -tinggalan arkeologi di Situs Gua Dompo-Dompo yang merupakan salah satu upaya",Gua Dompo-Dompo,duplicate,
