label,category,start_date,end_date,source_file,page,evidence_snippet
Prehistoric,archaeological,,,data/google-drive-pdfs/05+Kalpataru+2023+Ipak+hal+149-162.pdf,1,"r 2023 (149-162) BURIAL SYSTEM IN KARAKELANG ISLAND, TALAUD REGENCY, NORTH SULAWESI Sistem Penguburan di Pulau Karakelang, Kabupaten Talaud, Provinsi Sulawesi Utara Ipak Fahriani and Vivi Sandra Sari Research Center for Prehistoric and History Archaeology, BRIN, Indonesia ipak.arkeo@gmail.com Manuscript received : 26 October 2023 Manuscript revised : 23 November 2023 Manuscript accepted : 18 December 2023 Abstract. Karakelang is an island located"
Prehistoric,archaeological,,,data/google-drive-pdfs/05+Kalpataru+2023+Ipak+hal+149-162.pdf,1,"ng Island were parts of the adaptation system of people in Karakelang Island. It was mostly influenced by the natural resources that were closely related to the developed local culture in Talaud Keywords: Burial System, Prehistoric, Occupancy, Local Culture, Karakelang Island Abstrak. Karakelang adalah nama sebuah pulau, yang secara administratif terletak di Kabupaten Kepulauan Talaud, Sulawesi Utara. Sebagai salah satu pintu masuk migrasi datangn"
Neolithic,archaeological,,,data/google-drive-pdfs/05+Kalpataru+2023+Ipak+hal+149-162.pdf,2,"nesia (Sulawesi islands) created a cultural mixture between Austronesia and local culture. (Soegondho, 2005) mentions the cultural mix is marked by the remains of cultural material found in this area, such as flakes and neolithic axes found in the caves in Talaud Islands, Minahasa (Passo), Bolaang Mongondow (Guaan), and Gorontalo (Oluhuta). Besides that, various megalithic culture remains were also found in some sites in Minahasa, Sangihe island"
Megalithic,archaeological,,,data/google-drive-pdfs/05+Kalpataru+2023+Ipak+hal+149-162.pdf,2,"by the remains of cultural material found in this area, such as flakes and neolithic axes found in the caves in Talaud Islands, Minahasa (Passo), Bolaang Mongondow (Guaan), and Gorontalo (Oluhuta). Besides that, various megalithic culture remains were also found in some sites in Minahasa, Sangihe islands, Bolaang Mongondow, and Gorontalo such as waruga, mortar and pestle (lesung batu), stone jar (dulang batu), stone mortar (lumpang batu), kalamba"
Megalithic,archaeological,,,data/google-drive-pdfs/05+Kalpataru+2023+Ipak+hal+149-162.pdf,2,"nds (Leang Buida, Leang Sarru, Leang Tuwo Mane’e), Kerang Passo site in Minahasa, Guaan site in Bolaang Mongondow, and Oluhuta site in Gorontalo (Tim Penelitian, 2019). Meanwhile, the sites that contained the remains of megalithic buildings and burial jars were found dispersed in North and Central Sulawesi, such as the Waruga megalithic site that was discovered in most of Minahasa areas, Kalamba megalithic site which was found in the valleys in C"
Megalithic,archaeological,,,data/google-drive-pdfs/05+Kalpataru+2023+Ipak+hal+149-162.pdf,2,"ondow, and Oluhuta site in Gorontalo (Tim Penelitian, 2019). Meanwhile, the sites that contained the remains of megalithic buildings and burial jars were found dispersed in North and Central Sulawesi, such as the Waruga megalithic site that was discovered in most of Minahasa areas, Kalamba megalithic site which was found in the valleys in Central Sulawesi (Fahriani, 2014). Burial jar sites were also found in some sites in both of the areas, namel"
Megalithic,archaeological,,,data/google-drive-pdfs/05+Kalpataru+2023+Ipak+hal+149-162.pdf,2,"the sites that contained the remains of megalithic buildings and burial jars were found dispersed in North and Central Sulawesi, such as the Waruga megalithic site that was discovered in most of Minahasa areas, Kalamba megalithic site which was found in the valleys in Central Sulawesi (Fahriani, 2014). Burial jar sites were also found in some sites in both of the areas, namely the findings of burial jar distribution in Passo site and Sinuian sit"
Paleolithic,archaeological,-28050,-28050,data/google-drive-pdfs/05+Kalpataru+2023+Ipak+hal+149-162.pdf,2,"rth Sulawesi which is located between Mindanao Islands and Sulawesi Islands. The geographical location is quite strategic, it makes a special and important history and culture. According to the archaeological study, the Paleolithic era shows the oldest occupation in Talaud was in 30.000 years ago (Tanudirdjo, 2001). It proves that the ancestors of Talaud people had occupied this area from Paleolithic age, who migrated from Mindanau and its surroun"
Paleolithic,archaeological,-28050,-28050,data/google-drive-pdfs/05+Kalpataru+2023+Ipak+hal+149-162.pdf,2,"ure. According to the archaeological study, the Paleolithic era shows the oldest occupation in Talaud was in 30.000 years ago (Tanudirdjo, 2001). It proves that the ancestors of Talaud people had occupied this area from Paleolithic age, who migrated from Mindanau and its surrounding islands. The excavation in Leang Tuwo Mane’e Site in Karakelang Islands (Talaud) discovered potsherds which were similar to Neolithic pottery of South Philippine, Kali"
Neolithic,archaeological,,,data/google-drive-pdfs/05+Kalpataru+2023+Ipak+hal+149-162.pdf,2,"ple had occupied this area from Paleolithic age, who migrated from Mindanau and its surrounding islands. The excavation in Leang Tuwo Mane’e Site in Karakelang Islands (Talaud) discovered potsherds which were similar to Neolithic pottery of South Philippine, Kalimantan, and Micronesia Islands which buried with"
