site_name,latitude,longitude,coordinate_text,coordinate_system,source_file,page,evidence_snippet,rejection_reason
Ceruk Pampini. Meanwhile,,,,,data/google-drive-pdfs/05+Kalpataru+2023+Ipak+hal+149-162.pdf,5,"elters, also the open site, it is known that 9 sites indicated functioning as residential location, namely Ceruk Moong, Ceruk Kucing 1 and 2, Gua Wointumbu, Ceruk Raranganusa 2, Ceruk Antil, Ceruk Mendeet, Gua Wurro and Ceruk Pampini. Meanwhile, the site dispersion of burial activity was found in 5 locations namely Ceruk Raranganusa 1, Ceruk Masare, Ceruk Ttombatu, Gua Totombatu, Gua Wuida and Makatara site. The result of data entry in the other cave/rockshelt",bad_keyword
Ceruk Antil East Coast No Sites Astronomical,,,,,data/google-drive-pdfs/05+Kalpataru+2023+Ipak+hal+149-162.pdf,6,"are 04⁰32'01,2"" 126⁰48'27,8"" 22 North Coast 14 Toton Batu 04⁰07'36,3"" 126⁰44'11,9"" 7 West Coast 15 Leang Matahit 04⁰10'22,8"" 126⁰45'34,7"" 7 West Coast 16 Liang Mandeet (attached) 04⁰10'22,8"" 126⁰45'34,7"" 7 West Coast 17 Ceruk Antil East Coast No Sites Astronomical Latitude (N) Astronomical Longitude (E) Height (mapl) Location on the island 1 Wurro, Desa Tuabatu 04º18’34.9” 126º53’31.6” 1 East Coast 2 Wuida, Desa Rusoh 04º04’28.7” 126º43’19.6” 243 West Coast 3 Ceruk Pampini, Desa",bad_keyword
Rockshelter Sites,,,,,data/google-drive-pdfs/05+Kalpataru+2023+Ipak+hal+149-162.pdf,6,"n the potsherds Karakelang as follows: a) Cup/Bowl: has a wide surface with a fold out edge, the body part is round, the fragments are found generally in medium size and quite thick (Figure 2). Table 1. Location of Cave/Rockshelter Sites in Karakelang Island based on Research Report in 2018 Table 2. Location of Cave/Rockshelter Sites in Karakelang Island based on Research Report in 2019 Source: Research Report, 2018 Source: Research Report, 2019 No Site",bad_keyword
No Sites,,,,,data/google-drive-pdfs/05+Kalpataru+2023+Ipak+hal+149-162.pdf,6,"r Sites in Karakelang Island based on Research Report in 2018 Table 2. Location of Cave/Rockshelter Sites in Karakelang Island based on Research Report in 2019 Source: Research Report, 2018 Source: Research Report, 2019 No Sites Astronomical Latitude (N) Astronomical Longitude (E) Height (mapl) Location on the island 1 Wetta 04⁰13'20,7"" 126⁰49'52,5"" 130 Center of the island 2 Marat 04⁰13'21,9"" 126⁰49'38,0"" 83 Center of the island 3 Moong 04⁰13'",bad_keyword
Ceruk Antil East Coast No Sites,,,,,data/google-drive-pdfs/05+Kalpataru+2023+Ipak+hal+149-162.pdf,6,"are 04⁰32'01,2"" 126⁰48'27,8"" 22 North Coast 14 Toton Batu 04⁰07'36,3"" 126⁰44'11,9"" 7 West Coast 15 Leang Matahit 04⁰10'22,8"" 126⁰45'34,7"" 7 West Coast 16 Liang Mandeet (attached) 04⁰10'22,8"" 126⁰45'34,7"" 7 West Coast 17 Ceruk Antil East Coast No Sites Astronomical Latitude (N) Astronomical Longitude (E) Height (mapl) Location on the island 1 Wurro, Desa Tuabatu 04º18’34.9” 126º53’31.6” 1 East Coast 2 Wuida, Desa Rusoh 04º04’28.7” 126º43’19.6” 243 West Coast 3 Ceruk P",bad_keyword
Taiwan-Fujian Archaeological Site,,,,,data/google-drive-pdfs/1-2.pdf,13,"ly very different from the culture produced by the inhabitants of the ocean islands, especially the cultures of the prehistoric era. In February 2001, I was commissioned by the Ministry of the Interior, ROC, to run the “Taiwan-Fujian Archaeological Site Survey and Research Project” and survey areas of Kinmen and Lianjiang, two countiesin Taiwan’s Fuchien (Fujian) Province (which is distinct from the mainland Fujian Province). After a year of conducting survey and resea",bad_keyword
Liangdao Prehistoric Sites,,,,,data/google-drive-pdfs/1-2.pdf,18,. . . . . . . . . . . . . . . . . . . . . . . . 25 3 The Archaeology of Liangdao Island ............................. 2 9 3.1 The Prehistoric Liangdao Culture of the Matsu Archipelago . . . . . . 29 3.2 Discovery of the Liangdao Prehistoric Sites . . . . . . . . . . . . . . . . . . . . 30 3.3 Excavations of Trenches TP1 and TP3 at the Liangdao-Daowei-I Site . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 31 3 . 3 . 1 E x c a v a t i o nM e t h o,bad_keyword
Matsu Archipelago Sites,,,,,data/google-drive-pdfs/1-2.pdf,21,xxiv Contents Attachment 1: Radiocarbon Dates from the Matsu Archipelago Sites .............................................................. 1 5 9 Attachment 2: Liangdao Man Ancient DNA Experimental Report ..... 1 6 1 Appendix A: Liangdao Man mtDNA Haplogroup .................... 1 6 5 Appendix B,bad_keyword
At Sites,,,,,data/google-drive-pdfs/1-s2.0-S0047248499903445-main.pdf,23,"imentological/ depositional equivalence among the sites and the relatively uniform ecological picture, neither taphonomic nor environmental fac- tors appear to explain the strong correlation between artefacts and bones. At Sites 2, 15, and I3, hominids were very active and were apparently the main agent of stone- and-bone accumulation. The correlation 769   ",bad_keyword
Oldest Sites,,,,,data/google-drive-pdfs/1-s2.0-S0277379123004663-main.pdf,13,"OAPEN_459360 . Clarkson, C., et al., 2017. Human occupation of northern Australia by 65,000 years ago. Nature 547, 306 – 310. https://doi.org/10.1038/nature22968 . Clarkson, C., et al., 2022. Australia ’ s First People: Oldest Sites and Early Culture. In: McNiven, Ian, J., Bruno, David (Eds.), The Oxford Handbook of the Archaeology of Indigenous Australia and New Guinea. Oxford University Press, pp. 241 – 272. htt ps://doi.org/10.1093/oxfordhb/9780",bad_keyword
Pleistocene Sites,,,,,data/google-drive-pdfs/1.+Semedo_galleys_300824.pdf,1,"r Budaya Unit Museum Semedo dama.qoriy.a@mail.ugm.ac.id ABSTRACT Keywords: Middle Pleistocene; Technology; Usewear; Homo erectus ; Faunal remains. Bone artifacts as a cultural product of the hominins are rarely found in Pleistocene Sites in Indonesia. Among a few Pleistocene sites yielding bone artifacts, Semedo in Central Java provides it along with numerous fossils, including Homo erectus and stone artifacts. This is why the studies on the bone artifa",bad_keyword
,-6.961750,109.284333,"6°57'42.3""S; 109°17'03.6""E",wgs84_dms,data/google-drive-pdfs/1.+Semedo_galleys_300824.pdf,4,"k, karena hanya didasarkan pada memori penemu. Namu n, berdasarkan penuturan narasumber , lokasi penemuan ketiga artefak ini berada di area ladang Brug Blendung sisi selatan museum, tidak jauh dari aliran Sungai Semedo (6°57'42.3""S; 109°17'03.6""E). Area ini memiliki morfologi datar, berada di kaki bukit kecil yang terletak di s isi barat dari area penemuan (Gambar 2 ). Kondisi s aat ini adalah juga kondisi ketika artefak ini ditemukan , yaitu berupa lahan yang d",empty
Waruga Stone Grave Sites,,,,,data/google-drive-pdfs/125973516.pdf,9,"Balai Arkeologi Manado, Manado, 2010 [10] I. Fahriani, Kajian Sebaran situs Megalitik di Kecamatan Tompaso, Minahasa, Balai Arkeologi Manado, Manado, 2012 [11] D. Y. Y. Umar, A Picture of the Physical Environment of the Waruga Stone Grave Sites in Minahasa Regency, North Sulawesi, in Archaeology: Indonesian Perspective ( R.P Soejono's Festchrift) , edited by Truman Simanjuntak, M. Hisyam, Bagyo Prasetyo and Tuti Surti Nastiti, Yayasan Obr Indonesia, Jakarta, 2",bad_keyword
Bandaran Timur Sites,,,,,data/google-drive-pdfs/125973616.pdf,4,"Archaeological Center is between N20°E and N25°E (Gunadi, 2018). N 27° E Figure 7 Human skeletons results of the research/excavation of the National Archaeological Research Center of Plawangan Site (Prasetyo 1994). 3.4. Bandaran Timur Sites These two sites were discovered when the research team from the Yogyakarta Archeological Research team conducted research: Looking for Traces of Austronesian Culture in the North Coast Region of Madura Island in 2021. T",bad_keyword
East Tamberu Sites,,,,,data/google-drive-pdfs/125973616.pdf,7,"the direction towards the graves at the Binangun, Leran, and Plawangan sites which tend to be northeast-southwest is not a grave from the Islamic era . Likewise, the direction towards the graves of the West Tamberu and East Tamberu Sites, Sokobanah District, Sampang Regency, Madura, East Java Province, in azimuthal N 10° -45° W is the Northwest -Southeast direction which is substantively opposite to the d irection facing the graves at the site. Binangun",bad_keyword
Gua Dudumunir Dalam,,,,,data/google-drive-pdfs/149-164.pdf,9,"berkualitas dan hasil yang maksimal tentunya membutuhkan pengetahuan, kerja keras, sehingga alat yang dihasilkan sangat berguna sesuai fungsi dan kegunaannya. Sumber: Dok. Balai Arkeologi Papua 2018 Gambar 4 Alat Serpih Gua Dudumunir Dalam spit 13 kotak U1B1/KT1 kotak 1 ditemukan satu mata panah, yang kemungkinan telah dipaka dipakai untuk berburu binatang. Mata panah berukuran kecil dengan ukuran panjang 1,7 cm dan lebar 1,2 cm terbuat dari batu kuarsa.",bad_keyword
Gua Dudumunir Dalam,,,,,data/google-drive-pdfs/149-164.pdf,11,"mukan dalam kotak U1B1/KT1 kotak 1 di spit 6, spit 9 dan sp it 13. Perhiasan tulang yang ditemukan kemungkinan berasal dari tulang ikan yang dilubangi, sehingga menghasilkan bentuk perhiasan. Tulang Manusia dan Binatang Gua Dudumunir Dalam kotak U1B1/KT1 kotak 1 ditemukan juga tulang manusia , yaitu tulang belakang di spit 2 dan spit 3, tulang selangka di spit 2 dan spit 3, tulang belikat (scapula) di spit 2 dan spit 3, tulang paha (femur) di spit 2, tula",bad_keyword
Gua Kuya. Konsentrasi,,,,,data/google-drive-pdfs/1683-Article Text-6076-1-10-20220825.pdf,7,"d/index.php/sangia ISSN 2654-3524 (Online) ISSN 2613-8999 (Print) 47 3.2.3 Fragmen Keramik Gambar 2.3 Fragmen Keramik II pada Situs Gua Kuya (Dok: Ato, 2021) Gambar 2.3 di atas, merupakan fragmen keramik di lereng situs Gua Kuya. Konsentrasi fragmen keramik terletak pada grid S6B3 terdapat di permukaan tanah lereng Gua Kuya. Kondisi keramik tidak utuh. Pada bagian keramik terdapat tanah yang melekat. Bentuk keramik yang diasumsikan adalah mangkuk. Fragmen k",bad_keyword
Gua Kuya. Kondisi,,,,,data/google-drive-pdfs/1683-Article Text-6076-1-10-20220825.pdf,7,"2.3 Fragmen Keramik II pada Situs Gua Kuya (Dok: Ato, 2021) Gambar 2.3 di atas, merupakan fragmen keramik di lereng situs Gua Kuya. Konsentrasi fragmen keramik terletak pada grid S6B3 terdapat di permukaan tanah lereng Gua Kuya. Kondisi keramik tidak utuh. Pada bagian keramik terdapat tanah yang melekat. Bentuk keramik yang diasumsikan adalah mangkuk. Fragmen keramik ini memiliki warna dasar putih dengan motif polos. Fragmen keramik ini memiliki p ola",bad_keyword
Gua Kuya. Konsentrasi,,,,,data/google-drive-pdfs/1683-Article Text-6076-1-10-20220825.pdf,8,"SSN 2613-8999 (Print) 48 3.2.5 Fragmen Tengkorak dan Tulang Gambar 2.5 Fragmen Tengkorak dan Tulang pada Situs Gua Kuya (Dok: Ato, 2012) Gambar 2.5 di atas, merupakan fragmen tengkor ak dan tulang yang terdapat di Situs Gua Kuya. Konsentrasi fragmen terdapat pada grid U3T3 di atas permukaan lantai Gua Kuya. Kotak ini berada di dekat dinding gua dengan ketinggian 100 cm diatas permukaan tanah. Kondisi fragmen tengkorak pada saat ditemukan berada di atas dind",bad_keyword
Gua Kuya. Kondisi,,,,,data/google-drive-pdfs/1683-Article Text-6076-1-10-20220825.pdf,8,"ningan. 3.2.6 Fragmen Gigi Gambar 2.6 Fragmen Gigi pada Situs Gua Kuya (Dok: Ato, 2021) Gamabr 2.6 di atas, merupakan fragmen gigi yang terdapat di Situs Gua Kuya. Konsentrasi fragmen gigi di atas permukaan tanah lereng Gua Kuya. Kondisi fragmen gigi pada saat ditemukan berada di permukaan tanah, daun kering dan ranting-ranting pohon. Kondisi fragmen gigi sebagian masih utuh dan sebagian rusak. Disetiap gigi terdapat tanah yang melekat. Jumlah gigi yang",bad_keyword
Gua Kuya. Konsentrasi,,,,,data/google-drive-pdfs/1683-Article Text-6076-1-10-20220825.pdf,9,"dex.php/sangia ISSN 2654-3524 (Online) ISSN 2613-8999 (Print) 49 3.2.7 Fragmen Gelang Gambar 2.7 Fragmen Gelang II pada Situs Gua Kuya (Dok: Ato, 2021) Gambar 2.7 di atas, merupakan artefak gelang yang terdapat di situs Gua Kuya. Konsentrasi fragmengelangterdapat pada grid U 3B3 di permukaan lantai gua. Kotak U 3B3 ini berada di samping dinding gua. Kondisi fragmen gelang pada saat ditemukan berada pada tumpukan tinggalan -tinggalan ialah gerabah, tulang, t",bad_keyword
Gua Kuya. Konsentrasi,,,,,data/google-drive-pdfs/1683-Article Text-6076-1-10-20220825.pdf,10,"/sangia ISSN 2654-3524 (Online) ISSN 2613-8999 (Print) 50 3.2.9 Fragmen Artefak Batu Gambar 2.9 Fragmen Artefak Batu pada Situs Gua Kuya (Dok: Ato, 2021) Gambar 2.9 di atas, merupakan artefak batu yang terdapat di situs Gua Kuya. Konsentrasi artefak batu terdapat pada grid U3B2 di atas permukaan lantai Gua Kuya. Alat batu ini diasumsikan sebagai fragmen batu ike. Bentuk batu ike segiempat serta terdapat garis vertikal dan disetiap sudut batu terdapat goresa",bad_keyword
UNESCO World Heritage Site,,,,,data/google-drive-pdfs/1887_3503873-Paper_Dusseldorp_Mining.pdf,2,"ssil deposits which yielded a great many fossils of hominins (primates sharing a more recent common ancestor with us than we do with chimpanzees). The caves that yielded these fossil discoveries now form the core of the UNESCO World Heritage Site “the Cradle of Humankind” For more than a century, mining and archaeological and palaeoanthropological research in southern Africa have an ongoing interaction in which the mutual effects change both activities although",bad_keyword
UNESCO World Heritage Site,,,,,data/google-drive-pdfs/1887_3503873-Paper_Dusseldorp_Mining.pdf,3,"he Rand near Johannesburg. Dolomitic formations suitable for lime mining are very conveniently located just North of the gold - bearing deposits. Lime -mining took place at a number of sites that are now included in the UNESCO World Heritage Site “the Cradle of Humankind”. The richest site in this area is Sterkfontein. It had been worked since the 1890s, but in 1929 the rights to the site were transferred to a new operation. Significantly, the new mine employed",bad_keyword
World Heritage Site,,,,,data/google-drive-pdfs/1887_3503873-Paper_Dusseldorp_Mining.pdf,9,"or World Heritage status of the Mapungubwe Cultural Landscape (Chirikure and Mathoho n.d.). The company has donated land and sponsored archaeological research in the area around its Venetia Diamond mi ne, located in the World Heritage Site’s buffer zone. The company also includes archaeological impacts in its environmental incident reporting (Anonymous 2013). Mapungubwe Cultural Landscape comprises a National Park in which a number of Iron Age sites is lo",bad_keyword
Heritage Sites,,,,,data/google-drive-pdfs/1887_3503873-Paper_Dusseldorp_Mining.pdf,9,n African kingdoms into the large-scale Indian Ocean trade. The recognition of the global significance of this cultural landscape is an important achievement in the post-Apartheid South Africa redressing its attitude to Heritage Sites (sensu Deacon 2015). The magnitude of operations and the type of mining as well as the corporate philosophy of the mining company lead to varied types of impact and mitigation. More ambitious recommendations for mitigat,bad_keyword
World Heritage Site,,,,,data/google-drive-pdfs/1887_3503873-Paper_Dusseldorp_Mining.pdf,10,ported by the De Beers mining company who operate a diamond mine in the park’s buffer zone. The designation process has been described as rushed . At the time advisory organization ICOMOS advised against proclaiming the World Heritage Site as outstanding questions from ICOMOS on the management plan and the designation of the park’s buffer zone had not been addressed (Meskell 2011). South Africa’s government made commitments to ensure the establishment of,bad_keyword
UNESCO World Heritage Site,,,,,data/google-drive-pdfs/1887_3503873-Paper_Dusseldorp_Mining.pdf,12,"public opinion. The protection of the Caves at Sterkfontein while lime mining continued in the fossiliferous deposits exemplifies this. Currently, legal recourse is available to influence mining policy. The case of the UNESCO World Heritage Site Mapungubwe Cultural Landscape, shows that here, the legal framework may not always be advantageous. With the Park’s buffer zone legally not well -established, public opinion and warning signs from UNESCO can be put asid",bad_keyword
World Heritage Site,,,,,data/google-drive-pdfs/1887_3503873-Paper_Dusseldorp_Mining.pdf,13,"isciplines produce on the origins of the Human Family, embodied by the Cradle of Humankind Worl d Heritage site and on the origins of Modern Human Behaviour from around 200.000 years onwards embodied in another proposed World Heritage Site is still not always relevant for Africans (Esterhuysen 2019). This combined with the perceived idea that mineral extraction is more conducive to making money than Heritage tourism is plagues the scientific disciplines a",bad_keyword
World Heritage Site,,,,,data/google-drive-pdfs/1887_3503873-Paper_Dusseldorp_Mining.pdf,15,"66. doi:10.1080/0067270X.2014.909166 Chirikure, S., & Mathoho, E. N. (n.d.). Replacement of electricity poles as part of maintenance of the bundle conductor and transformer structures inside Mapungubwe National Park and World Heritage Site Limpopo Province, South Africa (Vol. Millennium Heritage group for De Beers, Venetia Mine). South Dale. Clark, J. D. (1962). L'Abbé H. Breuil. The South African Archaeological Bulletin, 17(65), 21-22. Retrieved from htt",bad_keyword
Mapungubwe Heritage Site,,,,,data/google-drive-pdfs/1887_3503873-Paper_Dusseldorp_Mining.pdf,17,"tion.org/world-heritage-gone-south-african- diamond-mining-destroys-archaeological-sites-daily/ Leonard, L., & Lebogang, T. (2018). Exploring the Impacts of Mining on Tourism Growth and Local Sustainability: The Case of Mapungubwe Heritage Site, Limpopo, South Africa. Sustainable Development, 26(3), 206-216. Retrieved from https://doi.org/10.1002/sd.1695. doi:https://doi.org/10.1002/sd.1695 Li, H., Kuman, K., Lotter, M. G., Leader, G. M., & Gibbon, R. J. (2017",bad_keyword
Alain GALLAY Sites,,,,,data/google-drive-pdfs/2016_The_Ngorek_of_the_central_highlands.pdf,5,"et populations de langues est-couchitiques en Éthiopie. ϮʹhŶĞĂƉƉƌŽĐŚĞŚŝƐƚŽƌŝƋƵĞ .................................................................................................................................. 219 Alain GALLAY Sites anciens à stèles et sociétés mégalithiques récentes de la Rift Valley éthiopienne .......................................... 245 Roger JOUSSAUME Aux confins de l¹Éthiopie, du Soudan et du Kenya. Un Béotien sur les trace",bad_keyword
Introduction Sites,,,,,data/google-drive-pdfs/2016_The_Ngorek_of_the_central_highlands.pdf,7,"ige social. Le « mégalithisme » devra alors n’être envisagé que comme un trait, parmi d’autres, d’une expression plus ou moins universelle et panchronique de stratégies sociales normales dans un tel contexte compétitif. Introduction Sites of megalithic monuments in Southeast Asia have long been known, studied, and discussed (Heine-Geldern 1928, 1934, 1945; Münsterberger 1939; Quaritch Wales 1957; Loofs 1967; Christie 1979; Kim 1982). Various theories env",bad_keyword
Three Burial Sites,,,,,data/google-drive-pdfs/2016_The_Ngorek_of_the_central_highlands.pdf,37,"rawak. Sarawak Museum Journal IV(13): 139-155. Pollard, F. H. and Banks, E. 1937. Teknonomy and other customs among the Kayans, Kenyahs, Kelamantans and others. Sarawak Museum Journal IV(15): 395- 409. Puri, R. K. 1993. Three Burial Sites with Human Remains. Unpublished manuscript. Quaritch Wales, H. G. 1957. Prehistory and Religion in South-East Asia. London, Bernard Quaritch. Ricketts, O. F. 1963. The Muruts of the Trusan River. In A. J. Richards (ed.)",bad_keyword
Rockshelter Sites,,,,,data/google-drive-pdfs/2020KaharudinetalIndoCaves.pdf,1,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/347843084 A Review of Archaeological Dating Efforts at Cave and Rockshelter Sites in the Indonesian Archipelago Article in Bulletin of the Indo-Pacific Prehistory Association · December 2020 DOI: 10.7152/jipa.v44i0.15659 CITATIONS 2 READS 220 4 authors: Some of the authors of this publication are als",bad_keyword
Gua Tabuhan Java U-Series,,,,,data/google-drive-pdfs/2020KaharudinetalIndoCaves.pdf,16,"40,970–35,400 7 11 Song Keplek Java Radiocarbon – Bone 24,420 1000 31,020–27,085 7 12 Song Gupuh Java Radiocarbon Wk-14650 Charcoal 9961 60 11,699–11,241 8 13 Song Terus Java U-Series ST9901 Bone – – 11,800–10,600 9 14 Gua Tabuhan Java U-Series – Bovid enamel – – 56,000–50,000 9 15 Gua Lawa Java Radiocarbon – – 8190 170 9524–8127 b 7 16 Gua Kidang Java Radiocarbon – Marine shell 9600 160 10,815–9825 10 17 Song Gentong Java Radiocarbon ANU-10584 – 8760 190 10,2",bad_keyword
Liang Sara Kalimantan U-Series LSR2.3 CaCO3,,,,,data/google-drive-pdfs/2020KaharudinetalIndoCaves.pdf,17,"on UBA-20842 Charcoal 12,660 58 15,284–14,914 17 28 Lubang Jeriji Saléh Kalimantan U-Series LJS1.3 CaCO3 over rock art – – 41,720–40,040 18 29 Lubang Ham Kalimantan U-Series LH2.3 CaCO3 over rock art – – 9670–9310 18 30 Liang Sara Kalimantan U-Series LSR2.3 CaCO3 over rock art – – 15,260–14,570 18 31 Liang Banteng Kalimantan U-Series LBT1.3 CaCO3 over rock art – – 19,920–19,680 18 32 Liang Jon Kalimantan Radiocarbon SacA-19317 Charcoal 2665 35 2849–2740 17 33 Diang Kaung Kaliman",bad_keyword
Liang Banteng Kalimantan U-Series LBT1.3 CaCO3,,,,,data/google-drive-pdfs/2020KaharudinetalIndoCaves.pdf,17,"U-Series LJS1.3 CaCO3 over rock art – – 41,720–40,040 18 29 Lubang Ham Kalimantan U-Series LH2.3 CaCO3 over rock art – – 9670–9310 18 30 Liang Sara Kalimantan U-Series LSR2.3 CaCO3 over rock art – – 15,260–14,570 18 31 Liang Banteng Kalimantan U-Series LBT1.3 CaCO3 over rock art – – 19,920–19,680 18 32 Liang Jon Kalimantan Radiocarbon SacA-19317 Charcoal 2665 35 2849–2740 17 33 Diang Kaung Kalimantan Radiocarbon ANU-12131 Charcoal 9700 35 11,222–10,875 19 34 Diang Balu Kalimantan",bad_keyword
Leang Timpuseng Sulawesi U-Series LT2.3 CaCO3,,,,,data/google-drive-pdfs/2020KaharudinetalIndoCaves.pdf,18,"a, and Talauds No. Site name Island Dating method Dating code Dating material 14C Date ± error Calibrated Date (2σ) BP Source 37 Leang Bulu Sipong 4 Sulawesi U-Series BSP4.3.5 CaCO3 over rock art – – 44,900–43,920 22 38 Leang Timpuseng Sulawesi U-Series LT2.3 CaCO3 over rock art – – 41,570–39,860 23 39 Leang Jarie Sulawesi U-Series LJ1 CaCO3 over rock art – – 39,990–39,350 23 40 Leang Sampeang Sulawesi U-Series LS1.2 CaCO3 over rock art – – 33,360–31,840 23 41 Gua Jing Sulawesi U-",bad_keyword
Leang Jarie Sulawesi U-Series LJ1 CaCO3,,,,,data/google-drive-pdfs/2020KaharudinetalIndoCaves.pdf,18,"te ± error Calibrated Date (2σ) BP Source 37 Leang Bulu Sipong 4 Sulawesi U-Series BSP4.3.5 CaCO3 over rock art – – 44,900–43,920 22 38 Leang Timpuseng Sulawesi U-Series LT2.3 CaCO3 over rock art – – 41,570–39,860 23 39 Leang Jarie Sulawesi U-Series LJ1 CaCO3 over rock art – – 39,990–39,350 23 40 Leang Sampeang Sulawesi U-Series LS1.2 CaCO3 over rock art – – 33,360–31,840 23 41 Gua Jing Sulawesi U-Series GJ1.3 CaCO3 over rock art – – 32,600–29,100 23 42 Leang Lompoa Sulawesi",bad_keyword
Leang Sampeang Sulawesi U-Series LS1.2 CaCO3,,,,,data/google-drive-pdfs/2020KaharudinetalIndoCaves.pdf,18,"ries BSP4.3.5 CaCO3 over rock art – – 44,900–43,920 22 38 Leang Timpuseng Sulawesi U-Series LT2.3 CaCO3 over rock art – – 41,570–39,860 23 39 Leang Jarie Sulawesi U-Series LJ1 CaCO3 over rock art – – 39,990–39,350 23 40 Leang Sampeang Sulawesi U-Series LS1.2 CaCO3 over rock art – – 33,360–31,840 23 41 Gua Jing Sulawesi U-Series GJ1.3 CaCO3 over rock art – – 32,600–29,100 23 42 Leang Lompoa Sulawesi U-Series LL2.2 CaCO3 over rock art – – 30,500–28,200 23 43 Leang Barugayya 1 Sulaw",bad_keyword
Gua Jing Sulawesi U-Series GJ1.3 CaCO3,,,,,data/google-drive-pdfs/2020KaharudinetalIndoCaves.pdf,18,"U-Series LT2.3 CaCO3 over rock art – – 41,570–39,860 23 39 Leang Jarie Sulawesi U-Series LJ1 CaCO3 over rock art – – 39,990–39,350 23 40 Leang Sampeang Sulawesi U-Series LS1.2 CaCO3 over rock art – – 33,360–31,840 23 41 Gua Jing Sulawesi U-Series GJ1.3 CaCO3 over rock art – – 32,600–29,100 23 42 Leang Lompoa Sulawesi U-Series LL2.2 CaCO3 over rock art – – 30,500–28,200 23 43 Leang Barugayya 1 Sulawesi U-Series LB1.2 CaCO3 over rock art – – 32,300–26,000 23 44 Leang Barugayy",bad_keyword
Leang Lompoa Sulawesi U-Series LL2.2 CaCO3,,,,,data/google-drive-pdfs/2020KaharudinetalIndoCaves.pdf,18,"si U-Series LJ1 CaCO3 over rock art – – 39,990–39,350 23 40 Leang Sampeang Sulawesi U-Series LS1.2 CaCO3 over rock art – – 33,360–31,840 23 41 Gua Jing Sulawesi U-Series GJ1.3 CaCO3 over rock art – – 32,600–29,100 23 42 Leang Lompoa Sulawesi U-Series LL2.2 CaCO3 over rock art – – 30,500–28,200 23 43 Leang Barugayya 1 Sulawesi U-Series LB1.2 CaCO3 over rock art – – 32,300–26,000 23 44 Leang Barugayya 2 Sulawesi U-Series LB4.2 CaCO3 over rock art – – 53,100–35,700 23 45 Leang Sak",bad_keyword
Leang Bulu Bettue Sulawesi U-Series,,,,,data/google-drive-pdfs/2020KaharudinetalIndoCaves.pdf,18,"shwater shell 31,280 570 36,867–33,906 b 24 46 Leang Burung 1 Sulawesi Radiocarbon ANU-6175 Apatite 4610 220 5893–4655 25 47 Leang Burung 2 Sulawesi Radiocarbon GRN-8649 Freshwater shell 32,160 330 37,354–35,113 b 26 48 Leang Bulu Bettue Sulawesi U-Series – Anoa tooth – – 40,000–39,600 27 49 Batu Ejaya 1 Sulawesi Radiocarbon Wk-5464 Marine shell 4430 50 4608–4186 25 50 Leang Karassak Sulawesi Radiocarbon Wk-3823 Charcoal 2690 60 2933–2727 25 51 Gua Pasaung Sulawesi Radio",bad_keyword
Kisar Island. Sites,,,,,data/google-drive-pdfs/2020OConnoretal.KisarRockart2JIPA.pdf,5,"22 Table 1: Rock art sites on Kisar Island. Sites are listed by KSR code (i.e. order of discovery), which corresponds to the numbers in Figure 1 Code Site name Latitude Longitude Distance to coast (m) Elevation asl (m) Site descriptiona Motif description KSR 6 Intutun",bad_keyword
Near Oceania. Indicative Sites,,,,,data/google-drive-pdfs/218572772-Early-Human-Expansion-and-Innovation-in-the-Pacific.pdf,37,need to be represented in any sites considered for Tentative listing or World Heritage nomination on the basis of their contribution to global understanding and appreciation of the earliest phases of human settlement of Near Oceania. Indicative Sites There are ten sites dating to before the last glacial maximum that can help identify the sorts of qualities that might be expected of sites that could be nominated for World Heritage listing because of their importance,bad_keyword
Lapita Sites,,,,,data/google-drive-pdfs/218572772-Early-Human-Expansion-and-Innovation-in-the-Pacific.pdf,94,"excavation. Koné-Nouméa 2002, pp. 71 -84. Nouméa : Les Cahiers de l’Archéologie en Nouvelle-Calédonie 15. ANDERSON, A., S. BED FORD, G. CLARK, I. L ILLEY, C. SAND, G. S UMMERHAYES and R. TORRENCE, 2001. An Inventory of Lapita Sites containing dentate- stamped pottery . G. Clark, T. Sorovi-Vunidilo et A. Anderson (eds), The archaeology of Lapita dispersal in Oceania (Papers from the Fourth Lapita Conference, June 2000, Canberra, Australia) , pp. 1-",bad_keyword
Lapita Cultural Complex,,,,,data/google-drive-pdfs/218572772-Early-Human-Expansion-and-Innovation-in-the-Pacific.pdf,94,"DFORD, S. 2007. Crutial first steps into Remote Oceania. Lapita in the Vanuatu Archipelago. S. Chiu et C. Sand (eds), From Southeast Asia to the Pacific. Archaeological Persepctives on the Austronesian Expansion and the Lapita Cultural Complex , pp. 185- 213. Taipei : Centre for Archaeological Studies, Academia Sinica. BEDFORD, S. 2009. Les traditions potières Erueti et Mangaasi du Vanuatu central : réévaluation et comparaison suite à leur identification init",bad_keyword
